"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"BLDG20-1378","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R3","","EARHART SUBDIVISIO","","09-09-25-200-100","1078 GREENHILLS DR","","Ann Arbor","48105","Install Radon Mitigation System","","824","115","115","SWAT Environmental Inc","-83.68105","42.28735"
"BLDG20-1379","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R1C","","VAN DUSEN SUBDIVIS","","09-09-31-112-001","1011 SNYDER AVE","","Ann Arbor","48103","Install Radon Mitigation System","","749","115","115","SWAT Environmental Inc","-83.76021","42.26475"
"ELEC20-2009","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-08 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1C","","NORTHWOOD","","09-09-19-406-017","1114 MIXTWOOD RD","","Ann Arbor","48103","150A Panel, Meter, Cable, Circuits, recepticles","","0","175","175","Dan's Electric Corp","-83.7615","42.29141"
"ELEC20-2010","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-11 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1D","","ALLMENDINGER HEIGH","","09-09-32-215-015","1121 BIRK AVE","","Ann Arbor","48103","Electrical for new build","","0","187","187","Houssein A Hinnawe","-83.75918","42.26764"
"ELEC20-2011","2020-08-21 00:00:00","2020-09-01 00:00:00","2020-09-01 00:00:00","2020-10-06 00:00:00","","","BLDG20-1387","ELECTRICAL","ELECTRICAL","FINALED","","","ANN ARBOR INDUSTRI","","09-12-09-400-042","610 PHOENIX DR","","ANN ARBOR","48108","ZINGERMANS MAIL ORDER: Solar, roof-mounted","","0","475","475","Neff Mechanical","-83.7291","42.23193"
"ELEC20-2012","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-09 00:00:00","","","BLDG20-0567","ELECTRICAL","ELECTRICAL","FINALED","","","W.H. MORTON'S FIRS","","09-09-33-308-009","1407 MORTON AVE","","Ann Arbor","48104","Install 2 circuits","","0","99","99","Towler Thomas A","-83.73115","42.26266"
"ELEC20-2013","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-09 00:00:00","","","BLDG20-0568","ELECTRICAL","ELECTRICAL","FINALED","","","W.H. MORTON'S FIRS","","09-09-33-308-009","1537 PACKARD ST","","Ann Arbor","48104","Install 1 circuit","(5/7/2020 2:26 PM JHY)
Permit is approved and ready to be issued.  Emailed contractor and/or applicant their options, see attached

(7/28/2020 2:37 PM JHY)
Permit holder updated contractor. See attached application. Need licnese holder signature, registration expired.  Emailed David. Once reg docs and signature rcvd, can post new permit","0","57","57","Towler Thomas A","-83.73115","42.26266"
"ELEC20-2014","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-06 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","PUD","","COLLEGE HILL","","09-09-33-114-005","1917 WASHTENAW AVE","","Ann Arbor","48104","Install power to RTU milisplit AC (large)","","0","95","95","Vedder Electric Inc","-83.7223","42.26838"
"ELEC20-2018","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-04 00:00:00","","2021-03-14 00:00:00","","","ELECTRICAL","ELECTRICAL","ISSUED","R1D","","EBER WHITE ADDITIO","","09-09-30-416-011","1107 W LIBERTY ST","","Ann Arbor","48103","220v service to garage for elec vehicle charging","(8/21/2020 1:54 PM JHY)
HDC, what is scope of exterior work. New panel? Em applicant. Payment will need to be collected once fees are determined.

(9/3/2020 1:25 PM JHY)
No HDC required, emailed applicant for payment. Once received, permit can be issued.","0","57","57","Ben Keyes-WESENBERG INA","-83.76216","42.27692"
"ELEC20-2020","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2021-02-04 00:00:00","","","MECH20-1839","ELECTRICAL","ELECTRICAL","FINALED","","","LONG SHORE HEIGHTS","","09-09-21-218-003","1611 CHANDLER RD","","Ann Arbor","48105","Replace A/C - added Furnace","","0","100","100","Day Electric","-83.7386","42.29738"
"ELEC20-2022","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-11-16 00:00:00","","","MECH20-1850","ELECTRICAL","ELECTRICAL","FINALED","","","NEWPORT HILLS PHAS","","09-09-18-104-015","2626 WHITE OAK DR","","Ann Arbor","48103","Replace generator","","0","90","90","Koch & White","-83.76935","42.30933"
"ELEC20-2023","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-16 00:00:00","","","MECH20-1851","ELECTRICAL","ELECTRICAL","FINALED","","","ARBOR HEIGHTS SUB'","","09-09-19-318-048","808 DUNCAN ST","","Ann Arbor","48103","Replace furnace & A/C","","0","100","100","Koch & White","-83.77464","42.28899"
"ELEC20-2024","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-28 00:00:00","","","MECH20-1852","ELECTRICAL","ELECTRICAL","FINALED","","","DOUGLAS WOODS","","09-09-31-206-026","1793 W STADIUM BLVD","","Ann Arbor","48103","Replace furnace & A/C","","0","100","100","CMR MECHANICAL LLC","-83.77046","42.26665"
"ELEC20-2025","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","2020-10-22 00:00:00","","","MECH20-1853","ELECTRICAL","ELECTRICAL","FINALED","","","ARDMOOR PARK","","09-09-31-113-035","1231 ARDMOOR AVE","","Ann Arbor","48103","Replace HVAC","","0","75","75","CMR MECHANICAL LLC","-83.76495","42.26677"
"MECH20-1835","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-17 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4C","","JOHN F. LAWRENCE'S","","09-09-32-106-004","806 SYBIL ST","","Ann Arbor","48104","Replace Furnace Heat Exchanger & Water heater","","0","115","115","Indoor Comfort Co","-83.7434","42.2714"
"MECH20-1836","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","MECHANICAL","MECHANICAL","EXPIRED","R1D","","ASSESSOR'S PLAT NO","","09-09-33-328-022","1200 BROOKLYN AVE","","Ann Arbor","48104","Install Ductless Mini Split System","","0","90","90","Indoor Comfort Co","-83.73491","42.26332"
"MECH20-1838","2020-08-21 00:00:00","2020-08-24 00:00:00","2020-08-24 00:00:00","2020-09-25 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","PUD","","COLLEGE HILL","","09-09-33-114-005","1917 WASHTENAW AVE","","Ann Arbor","48104","Install outdoor ductless minisplit & 5 indoor units","(8/21/2020 2:59 PM JHY)
pull amex payment in office then permit will be issued","0","90","90","American Heating & Cooling LLC","-83.7223","42.26838"
"MECH20-1839","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-26 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","LONG SHORE HEIGHTS","","09-09-21-218-003","1611 CHANDLER RD","","Ann Arbor","48105","Replace A/C - add furnace","","0","140","140","Kelley Brothers LC","-83.7386","42.29738"
"MECH20-1840","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","2021-02-04 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4B","","","","09-12-10-303-159","2112 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1841","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","2021-02-04 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4B","","","","09-12-10-303-160","2110 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1842","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","","2021-08-18 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4B","","","","09-12-10-303-161","2108 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1843","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","2021-02-04 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4B","","","","09-12-10-303-162","2106 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1844","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","2021-02-04 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4B","","","","09-12-10-303-163","2104 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1845","2020-08-21 00:00:00","2020-09-14 00:00:00","2020-09-14 00:00:00","","2021-08-18 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R4B","","","","09-12-10-303-164","2102 STONE SCHOOL CIR","","Ann Arbor","48108","Modify ductwork for drainline install","","0","90","90","Hutzel Plumbing & Heating","-83.71866","42.23425"
"MECH20-1846","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-06 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","LANSDOWNE","","09-12-06-100-007","2144 GREENVIEW DR","","Ann Arbor","48103","Install wood insert into existing masonry","","0","135","135","Chelsea Hearth & Fireplaces Inc","-83.76337","42.25436"
"MECH20-1847","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-01 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","ASSESSOR'S PLAT NO","","09-09-21-218-011","601 INDIANOLA DR","","Ann Arbor","48105","Install gas insert into existing-gas line by others","","0","135","135","Chelsea Hearth & Fireplaces Inc","-83.7396","42.29695"
"MECH20-1850","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-15 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1A","","NEWPORT HILLS PHAS","","09-09-18-104-015","2626 WHITE OAK DR","","Ann Arbor","48103","Replace generator","","0","105","105","Koch & White","-83.76935","42.30933"
"MECH20-1851","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-16 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1D","","ARBOR HEIGHTS SUB'","","09-09-19-318-048","808 DUNCAN ST","","Ann Arbor","48103","Replace furnace & A/C","","0","140","140","Koch & White","-83.77464","42.28899"
"MECH20-1852","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-24 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","O","","DOUGLAS WOODS","","09-09-31-206-026","1793 W STADIUM BLVD","","Ann Arbor","48103","Replace furnace & A/C","","0","175","175","CMR MECHANICAL LLC","-83.77046","42.26665"
"MECH20-1853","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","2020-10-22 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","ARDMOOR PARK","","09-09-31-113-035","1231 ARDMOOR AVE","","Ann Arbor","48103","Replace A/C","","0","100","100","CMR MECHANICAL LLC","-83.76495","42.26677"
"PLUM20-1313","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","2020-09-08 00:00:00","","","","PLUMBING","PLUMBING","FINALED","R1C","","CONCORD VILLAGE","","09-12-03-403-053","2756 LOOKOUT CIR","","Ann Arbor","48104","Replace sewer via pipe burst","(8/21/2020 10:50 AM JHY)
Hold for ROW","0","100","100","Roto Rooter","-83.70129","42.24673"
"PLUM20-1314","2020-08-21 00:00:00","2020-08-25 00:00:00","2020-08-25 00:00:00","","2021-02-23 00:00:00","","","PLUMBING","PLUMBING","ISSUED","R1C","","FAIRVIEW HEIGHTS S","","09-09-30-218-022","120 FAIRVIEW DR","","Ann Arbor","48103","Replace water service & meter valves","(9/15/2020 9:06 AM JHY)
meter valves added to permit","0","80","80","Hutzel Plumbing & Heating","-83.77463","42.28257"
"SOIL20-0119","2020-08-21 00:00:00","2020-08-27 00:00:00","","","","","BLDG20-1792","SOIL EROSION","RESIDENTIAL","APPROVED","R4A","","WOODSTREAM SUBDIVI","","09-09-21-220-002","1541 JONES DR","","Ann Arbor","48105","1541 & 1543   - Install tiered boulder walls in back","","0","350","0","Todd's Services Inc","-83.73175","42.29458"
"SOIL20-0120","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-10-05 00:00:00","","2021-04-03 00:00:00","","BLDG20-1372","SOIL EROSION","RESIDENTIAL","ISSUED","","","EBER WHITE FIRST A","","09-09-30-417-007","426 CREST AVE","","Ann Arbor","48103","Replace concrete driveway & walk- front steps-retaining wall","","0","350","350","Todd's Services Inc","-83.7632","42.27576"
"TCP20-0681","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-24 00:00:00","","2020-08-24 00:00:00","","","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","R1D","","WESTAIRE TERRACE","ROW ADDRESS - CELLULAR ANTENNA","09-09-19-304-034","998 N MAPLE RD","","Ann Arbor","48103","RE-DIRECT TRAFFIC TO TURN LANE WITH ARROW BOARD AND CONES TO","(8/21/2020 9:43 AM KK1)
PROVIDE WORK AREA FOR OURS CREW, WHILE KEEPING TRAFFIC FLOWING. BIKE LANE WILL BE CLOSED AS WELL.

(8/21/2020 4:37 PM BN)
Contractor needs to have flagger at beginning of traffic shift to help merge bike traffic into lane.

(8/21/2020 4:43 PM KK1)
emailed payment cover sheet and invoice","0","38.75","38.75","Motor City Electric Co","-83.78036","42.28998"
"ROW20-1070","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-09-08 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","FINALED","R1C","","NORTHWOOD","","09-09-19-405-034","1312 COLGATE CIR","","Ann Arbor","48103","SEWER REPLACEMENT FROM HOUSE TO MANHOLE VIA PIPE BURSTING","","0","405","405","Dynamic Drains LLC","-83.7647","42.28959"
"ZCOM20-0215","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-12 00:00:00","","","","","ZONING COMPLIANCE","FENCE","ISSUED","R2A","","J.D. BALDWIN'S EAS","","09-09-28-403-009","605 OSWEGO ST","","Ann Arbor","48104","Install 31' of 3ft  wood fence -single gate & 1 double gate","","0","75","75","All Arbor Custom Fence","-83.72302","42.27423"
"ZCOM20-0216","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-24 00:00:00","","","","","ZONING COMPLIANCE","FENCE","ISSUED","R1C","","PITTSFIELD HILLS S","","09-12-02-402-005","2906 BRANDYWINE DR","","Ann Arbor","48104","6' privacy fence, 7 x 7 shed","","0","99","99","DUBY JEFFREY M & DUBY-LISKOVA MARTI","-83.69014","42.24627"
"BLDG20-1380","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R1C","","SCIOTO HILLS NUMBE","","09-08-24-410-039","690 ARCHWOOD DR","","Ann Arbor","48103","Install Radon Mitigation System","","749","115","115","SWAT Environmental Inc","-83.78571","42.29076"
"BLDG20-1383","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-12-07 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1B","","THOMAS K. TUOMY SU","","09-09-34-304-001","1419 KEARNEY RD","","Ann Arbor","48104","Radon Reduction System","","855","115","115","Protech Environmental Services","-83.71487","42.26529"
"BLDG20-1386","2020-08-21 00:00:00","2020-09-12 00:00:00","2020-10-28 00:00:00","","2021-04-26 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R4C","","HILL'S ADDITION","","09-09-33-203-013","809 E UNIVERSITY AVE","","Ann Arbor","48103","Convert 3 bed 1.5 bath to 5 bed and 3 baths","(9/6/2020 10:56 AM CHH2)
got drivers and contractor license. Still waiting on cost of job

(9/11/2020 12:19 PM MCFR)
project cost $40,000

(9/12/2020 5:51 PM JHY)
emailed approval and for payment.  Once payment rcvd, permit can be issued

(10/27/2020 4:28 PM CHH2)
recd permit fee - still needs $15 for registration- then permit can be released.","40000","683","683","Vessels, Dennis","-83.73549","42.27163"
"BLDG20-1390","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-25 00:00:00","2020-10-06 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1B","","VINTAGE VALLEY","","09-09-23-300-010","1400 BURGUNDY RD","","Ann Arbor","48105","Replace (16) windows, (1) entry door - SAME FOR SAME","(8/21/2020 8:14 PM JHY)
Hold for proj cost and cont reg

(9/3/2020 12:28 PM JHY)
Emailed for registration and project cost.  Once received, permit can be issued

(9/8/2020 1:54 PM JHY)
emailed for payment","0","145","145","Withrow Trenton Athel","-83.69607","42.29231"
"BLDG20-1391","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","2020-11-13 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","BARNARD HEIGHTS","","09-09-31-418-010","1509 MAYWOOD AVE","","Ann Arbor","48103","Exterior chimney repair","","15500","351","351","Omega Construction of Michigan LLC","-83.76578","42.26178"
"BLDG20-1392","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","","2021-03-02 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","FENWOOD","","09-09-33-432-005","1700 IVES LN","","Ann Arbor","48104","Chimney repair","","12700","359","359","Omega Construction of Michigan LLC","-83.72519","42.26444"
"BLDG20-1394","2020-08-21 00:00:00","2020-09-03 00:00:00","2020-09-03 00:00:00","","2021-05-19 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1C","","GARDEN HOMES PARK","","09-09-19-213-006","1459 FULMER ST","","Ann Arbor","48103","Demo and rebuild garage","","28800","551","551","Omega Construction of Michigan LLC","-83.7774","42.29416"
"BLDG20-1373","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R1B","","EARHART SUBDIVISIO","","09-09-26-100-028","3906 PENBERTON DR","","Ann Arbor","48105","Install Radon Mitigation System","","699","115","115","SWAT Environmental Inc","-83.68681","42.28406"
"BLDG20-1375","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-11-10 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1D","","","","09-09-33-412-024","1443 COLER RD","","Ann Arbor","48104","Install Radon Mitigation System","","699","115","115","SWAT Environmental Inc","",""
"BLDG20-1376","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R1D","","HAMILTON ROSE AND","","09-09-33-329-022","1429 GOLDEN AVE","","Ann Arbor","48104","Install Radon Mitigation System","","749","115","115","SWAT Environmental Inc","-83.73584","42.26296"
"BLDG20-1377","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","","BUILDING","RES ADD/ALTER","EXPIRED","R4C","","ASSESSOR'S PLAT NO","","09-09-33-221-007","1216 E UNIVERSITY AVE","","Ann Arbor","48103","Install Radon Mitigations System","","749","115","115","SWAT Environmental Inc","-83.73712","42.26803"
"ELEC20-2007","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-16 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1D","","EBER WHITE FIRST A","","09-09-30-415-010","500 EBERWHITE BLVD","","Ann Arbor","48103","Rewire All Active Knob and Tube","","0","125","125","Dan's Electric Corp","-83.76195","42.27535"
"ELEC20-2008","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-01 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1C","","LAKE WOOD SUBDIVIS","","09-08-25-205-002","3051 LAKEVIEW DR","","Ann Arbor","48103","A/C Wiring","","0","95","95","Dan's Electric Corp","-83.7912","42.28134"
"ELEC20-2015","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-11-18 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","C3","","BOULEVARD HEIGHTS","STADIUM AUTO SERVICE","09-09-30-300-021","415 S MAPLE RD","","Ann Arbor","48103","Replace Federal Pacific 200amp panel","","0","95","95","Vedder Electric Inc","-83.77992","42.27758"
"ELEC20-2016","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-09-21 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R4A","","","","09-09-10-400-116","2833 BARCLAY WAY","","Ann Arbor","48105","Outlet in partition wall per CR inspection","(8/21/2020 1:32 PM JHY)
See ELEC14-0681","0","75","75","Vedder Electric Inc","-83.70564","42.32054"
"ELEC20-2017","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-10-14 00:00:00","","","","ELECTRICAL","ELECTRICAL","FINALED","R1D","","JOHN J. SAUER'S AD","","09-09-30-103-016","1131 W WASHINGTON ST","","Ann Arbor","48103","Remove remaining knob&tube-replace w/ romex","","0","116","116","Vedder Electric Inc","-83.76249","42.28068"
"ELEC20-2019","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","2021-01-13 00:00:00","","","BLDG20-0719","ELECTRICAL","ELECTRICAL","FINALED","","","ARBOR OAKS SUBDIVI","","09-12-10-303-036","16 ENGLEWOOD CT","","Ann Arbor","48108","Wire detached garage","","0","104","104","Brentwood Electric","-83.71705","42.237"
"ELEC20-2021","2020-08-21 00:00:00","2020-08-21 00:00:00","2020-08-21 00:00:00","","2021-02-17 00:00:00","","MECH20-1849","ELECTRICAL","ELECTRICAL","EXPIRED","","","","","09-09-18-400-032","2164 OVERLOOK CT","","Ann Arbor","48103","Replace furnace","","0","75","75","Koch & White","-83.76353","42.30277"
"BARR20-0108","2020-08-21 00:00:00","","","","","","","BARRICADE","BARRICADE","CANCELLED","R4C","","","","09-12-05-400-011","600 HIDDEN VALLEY CLUB DR","","ANN ARBOR","48103","Tree Removal","(8/21/2020 5:28 PM AMKR)
Shut down entrance to Fedex drive for hazardous tree removal","0","240","0","J'S TREE TRIMMING & REMOVAL INC","-83.74206","42.24674"
